0,1
WatsDe00,Deshaun Watson
MahoPa00,Patrick Mahomes
BradTo00,Tom Brady
RyanMa00,Matt Ryan
AlleJo02,Josh Allen
HerbJu00,Justin Herbert
RodgAa00,Aaron Rodgers
CousKi00,Kirk Cousins
WilsRu00,Russell Wilson
RivePh00,Philip Rivers
CarrDe02,Derek Carr
StafMa00,Matthew Stafford
MurrKy00,Kyler Murray
GoffJa00,Jared Goff
TannRy00,Ryan Tannehill
RoetBe00,Ben Roethlisberger
BridTe00,Teddy Bridgewater
MayfBa00,Baker Mayfield
JoneDa05,Daniel Jones
BreeDr00,Drew Brees
LockDr00,Drew Lock
JackLa00,Lamar Jackson
BurrJo01,Joe Burrow
NewtCa00,Cam Newton
WentCa00,Carson Wentz
MullNi00,Nick Mullens
MinsGa00,Gardner Minshew II
DarnSa00,Sam Darnold
DaltAn00,Andy Dalton
FitzRy00,Ryan Fitzpatrick
TrubMi00,Mitchell Trubisky
PresDa01,Dak Prescott
FoleNi00,Nick Foles
TagoTu00,Tua Tagovailoa
SmitAl03,Alex Smith
HaskDw00,Dwayne Haskins
GaroJi00,Jimmy Garoppolo
GlenMi00,Mike Glennon
HurtJa00,Jalen Hurts
HillTa00,Taysom Hill
AlleBr00,Brandon Allen
FlacJo00,Joe Flacco
BeatC.00,C.J. Beathard
LutoJa00,Jake Luton
AlleKy00,Kyle Allen
DrisJe00,Jeff Driskel
McCoCo00,Colt McCoy
WalkPh00,P.J. Walker
RudoMa00,Mason Rudolph
RypiBr00,Brett Rypien
DaniCh00,Chase Daniel
StidJa00,Jarrett Stidham
HennCh01,Chad Henne
GilbGa01,Garrett Gilbert
WolfJo00,John Wolford
MariMa01,Marcus Mariota
DiNuBe00,Ben DiNucci
TaylTy00,Tyrod Taylor
BarkMa00,Matt Barkley
FinlRy00,Ryan Finley
GabbBl00,Blaine Gabbert
HeinTa00,Taylor Heinicke
HoyeBr00,Brian Hoyer
StreCh00,Chris Streveler
McSoTr00,Trace McSorley
WinsJa00,Jameis Winston
LandJa00,Jarvis Landry
BlouDa00,David Blough
KeenCa00,Case Keenum
CrowJa00,Jamison Crowder
MeyeJa01,Jakobi Meyers
GrifRo01,Robert Griffin III
GageRu00,Russell Gage
EdelJu00,Julian Edelman
SmitGe00,Geno Smith
BowdLy00,Lynn Bowden Jr.
SudfNa00,Nate Sudfeld
JoneZa00,Zay Jones
CharJo01,Joseph Charlton
ThomLo00,Logan Thomas
LeexAn20,Andy Lee
PeteNa00,Nathan Peterman
WilsCe01,Cedrick Wilson Jr.
BeasCo00,Cole Beasley
McCaA.00,A.J. McCarron
